movie_name,biehn_scale_rating,biehn_yes_or_no,budget,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,year,rt_critic_score,metascore,rt_audience_score,primary_genre_Comedy,primary_genre_Crime,primary_genre_Action,primary_genre_Drama,primary_genre_Adventure,primary_genre_Documentary,primary_genre_Family,primary_genre_Western,primary_genre_Horror,primary_genre_Mystery,primary_genre_Thriller,primary_genre_War,primary_genre_Science Fiction,primary_genre_Music,primary_genre_Animation,primary_genre_nan,primary_genre_Fantasy,secondary_genre_nan,secondary_genre_Drama,secondary_genre_Adventure,secondary_genre_Science Fiction,secondary_genre_Action,secondary_genre_Family,secondary_genre_History,secondary_genre_Animation,secondary_genre_Crime,secondary_genre_Thriller,secondary_genre_Horror,secondary_genre_Fantasy,secondary_genre_Mystery,secondary_genre_Comedy,secondary_genre_Romance,secondary_genre_Music,movie_age
The Dirt,6.9,1,0,0,108,7.5,891,7.0,44620.0,2019.0,59,39.0,59.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0
The Highwaymen,3.0,0,49000000,0,133,6.7,1516,6.9,84696.0,2019.0,58,58.0,73.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
The Silence,0.9,0,0,2325977,91,6.0,1118,5.3,42349.0,2019.0,29,25.0,25.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
Avengers: Endgame,9.7,1,356000000,2797800564,181,8.3,19556,8.4,963268.0,2019.0,94,78.0,90.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
Pet Sematary,4.6,0,11500000,57469467,103,6.6,1565,6.6,99623.0,1989.0,51,38.0,59.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0
The Perfection,6.0,1,0,0,90,6.6,999,6.2,40155.0,2018.0,71,60.0,59.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0
Bad Times at the El Royale,7.4,1,32000000,31882724,141,6.8,2708,7.1,139906.0,2018.0,74,60.0,73.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Rocketman ,9.3,1,40000000,167323950,121,7.4,3558,7.3,161005.0,2019.0,59,69.0,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
Gone Baby Gone,8.0,1,19000000,34619699,113,7.3,2806,7.6,264098.0,2007.0,94,72.0,86.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
Ad Astra,6.8,1,87500000,132807427,123,6.1,5110,6.5,217889.0,2019.0,83,80.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
Joker,9.6,1,55000000,1074251311,122,8.2,19110,8.4,1097649.0,2019.0,68,59.0,88.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0
